Time[s],Wavelength [nm],Voltage [V]
3726672752.2303142500,794.6875000000,0.1159030000
3726672753.1092424400,794.8125000000,0.1131336000
3726672753.9914736700,794.9062500000,0.1158744000
3726672754.8733921000,795.0000000000,0.1139781000
3726672755.7528967800,795.0937500000,0.1164401000
3726672756.6373481700,795.1875000000,0.1160929000
3726672757.5232849100,795.3125000000,0.1160378000
3726672758.4085373900,795.4062500000,0.1179831000
3726672759.2917776100,795.5000000000,0.1163462000
3726672760.1755585700,795.5937500000,0.1163380000
3726672761.0566182100,795.6875000000,0.1162441000
3726672761.9308710100,795.8125000000,0.1136513000
3726672762.8107528700,795.9062500000,0.1151545000
3726672763.6943087600,796.0000000000,0.1160235000
3726672764.5805873900,796.0937500000,0.1132847000
3726672765.4632830600,796.1875000000,0.1142865000
3726672766.3421096800,796.3125000000,0.1167016000
3726672767.2252793300,796.4062500000,0.1141068000
3726672768.1012625700,796.5000000000,0.1164177000
3726672768.9805398000,796.5937500000,0.1161420000
3726672769.8632159200,796.6875000000,0.1158948000
3726672770.7514967900,796.8125000000,0.1135023000
3726672771.6363110500,796.9062500000,0.1142232000
3726672772.5156202300,797.0000000000,0.1167608000
3726672773.3998894700,797.0937500000,0.1151055000
3726672774.2774605700,797.1875000000,0.1168323000
3726672775.1624670000,797.3125000000,0.1125250000
3726672776.0475039500,797.4062500000,0.1127149000
3726672776.9301872200,797.5000000000,0.1155538000
3726672777.8165745700,797.5937500000,0.1123453000
3726672778.6982169100,797.6875000000,0.1146500000
3726672779.5792431800,797.8125000000,0.1142518000
3726672780.4614334100,797.9062500000,0.1154619000
3726672781.3452754000,798.0000000000,0.1157743000
3726672782.2244014700,798.0937500000,0.1146051000
3726672783.1108989700,798.1875000000,0.1171274000
3726672783.9956240600,798.3125000000,0.1138106000
3726672784.8803944600,798.4062500000,0.1171886000
3726672785.7637505500,798.5000000000,0.1185733000
3726672786.6471686400,798.5937500000,0.1139577000
3726672787.5330839100,798.6875000000,0.1172806000
3726672788.4175109900,798.8125000000,0.1178279000
3726672789.3006310500,798.9062500000,0.1134767000
3726672790.1871056500,799.0000000000,0.1188828000
3726672791.0585918400,799.0937500000,0.1158499000
3726672791.9410433800,799.1875000000,0.1135768000
3726672792.8215456000,799.3125000000,0.1148727000
3726672793.7058272400,799.4062500000,0.1131745000
3726672794.5934233700,799.5000000000,0.1132378000
3726672795.4772543900,799.5937500000,0.1153434000
3726672796.3570079800,799.6875000000,0.1142089000
3726672797.2367706300,799.8125000000,0.1149278000
3726672798.1171617500,799.9062500000,0.1165974000
3726672799.0025625200,800.0000000000,0.1152331000
3726672799.8915143000,600.0000000000,0.1156375000
3726672802.9855217900,600.0937500000,0.1151719000
3726672803.8689446400,600.1875000000,0.1167853000
3726672804.7528257400,600.3125000000,0.1194567000
3726672805.6356082000,600.4062500000,0.1165402000
3726672806.5164470700,600.5000000000,0.1141068000
3726672807.3973951300,600.5937500000,0.1134359000
3726672808.2805361700,600.6875000000,0.1130437000
3726672809.1605753900,600.8125000000,0.1154169000
3726672810.0426111200,600.9062500000,0.1139005000
