Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
4.57000000e+01, -2.94078670e+00, 9.87000000e+02
4.58000000e+01, -2.93975818e+00, 9.85000000e+02
4.59000000e+01, -2.94075588e+00, 9.87000000e+02
4.60000000e+01, -2.94074163e+00, 9.87000000e+02
4.61000000e+01, -2.94526602e+00, 9.96000000e+02
4.62000000e+01, -2.94324959e+00, 9.92000000e+02
4.63000000e+01, -2.94374468e+00, 9.93000000e+02
4.64000000e+01, -2.94674915e+00, 9.99000000e+02
4.65000000e+01, -2.94824732e+00, 1.00200000e+03
4.66000000e+01, -2.94725047e+00, 1.00000000e+03
4.67000000e+01, -2.94775022e+00, 1.00100000e+03
4.68000000e+01, -2.94474527e+00, 9.95000000e+02
4.69000000e+01, -2.94524218e+00, 9.96000000e+02
4.70000000e+01, -2.94724191e+00, 1.00000000e+03
4.71000000e+01, -2.94774166e+00, 1.00100000e+03
4.72000000e+01, -2.94523896e+00, 9.96000000e+02
4.73000000e+01, -2.94372642e+00, 9.93000000e+02
4.74000000e+01, -2.94018184e+00, 9.86000000e+02
4.75000000e+01, -2.93762502e+00, 9.81000000e+02
