All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
242.0,49.07218780618008,49.44147744042996,49.045312056095,,,
243.0,49.4415311624044,49.81316377470292,49.42145057373672,,,
244.0,49.81323348090762,50.18710357287641,49.80003306284044,,,
245.0,50.18718912522369,50.563190570481396,50.18094748862234,,,
246.0,50.56329181849946,50.9413178928677,50.564081126203256,,,
247.0,50.94143467369813,51.321378085575176,50.94932059396761,,,
248.0,51.32151022397628,51.70326314486954,51.33655188711667,,,
249.0,51.7034104532254,52.08686454843446,51.725660411406224,,,
250.0,52.087026826769794,52.47207328621092,52.11653101705875,,,
251.0,52.47225032221169,52.85877989137514,52.509048032840006,,,
252.0,52.858971460415034,53.24687447144631,52.90309530028977,,,
253.0,53.24708033661913,53.63624673951546,53.29855620809694,,,
254.0,53.63646665167304,54.02678604558615,53.69531372660859,,,
255.0,54.027019743382326,54.41838140801854,54.09325044246283,,,
256.0,54.4186286179588,54.81092154506764,54.492248593335184,,,
257.0,54.81118198156455,55.204294906506746,54.89219010278826,,,
258.0,55.20456827194133,55.59838970532738,55.29295661521446,,,
259.0,55.59867569011603,55.99309394950633,55.69442953086109,,,
260.0,55.99339223217362,56.38829547383109,56.09649004092799,,,
261.0,56.38860572108827,56.78388197177431,56.499019162726796,,,
262.0,56.784203838603574,57.17974102740871,56.90189777489182,,,
263.0,57.180074157153165,57.5757601473528,57.30500665263189,,,
264.0,57.57610417181202,57.9718267927388,57.70822650301278,,,
265.0,57.97218133227009,58.367828411193294,58.11143800025996,,,
266.0,58.36819307481866,58.76365246882198,58.51452182107078,,,
267.0,58.76402685434054,59.15918648218895,58.917358679926195,,,
268.0,59.15957017629503,59.55431805028174,59.31982936439119,,,
269.0,59.554710628688376,59.94893488645285,59.72181477039356,,,
270.0,59.94933591402095,60.34292485032894,60.123195937470676,,,
271.0,60.3433338812017,60.736175979678336,60.5238540839737,,,
272.0,60.73659255742124,61.128576522227895,60.923670642218994,,,
273.0,61.129000179973936,61.52001496742024,61.32252729357599,,,
274.0,61.52044522802059,61.91038007810237,61.720306003481596,,,
275.0,61.91081645428223,62.29956092213648,62.1168890563704,,,
276.0,62.30000291665613,62.68744690392414,62.51215909051051,,,
277.0,62.68789400974533,63.07392779583485,62.905999132734685,,,
278.0,63.07437949629207,63.45889376952994,63.29829263305645,,,
