Time [s],Wavelength [nm],Voltage [V]
3726654292.8718957900,641.5937500000,0.0007883000
3726654293.7531142200,641.8125000000,0.0007883000
3726654294.6329431500,642.0000000000,0.0007945000
3726654295.5125241300,642.1875000000,0.0007802000
3726654296.3940367700,642.4062500000,0.0007679000
3726654297.2778072300,642.5937500000,0.0007761000
3726654298.1523513800,642.8125000000,0.0007700000
3726654299.0344591100,643.0000000000,0.0007618000
3726654299.9140577300,643.1875000000,0.0007863000
3726654300.7940120700,643.4062500000,0.0007904000
3726654301.6756129300,643.5937500000,0.0007781000
3726654302.5562505700,643.8125000000,0.0007659000
3726654303.4394679100,644.0000000000,0.0007740000
3726654304.3234720200,644.1875000000,0.0007659000
3726654305.2063622500,644.4062500000,0.0007740000
3726654306.0904192900,644.5937500000,0.0007843000
3726654306.9676833100,644.8125000000,0.0007843000
3726654307.8545789700,645.0000000000,0.0007740000
3726654308.7373209000,645.1875000000,0.0007700000
3726654309.6201062200,645.4062500000,0.0007740000
3726654310.4966797800,645.5937500000,0.0007679000
3726654311.3773145700,645.8125000000,0.0007883000
3726654312.2601985900,646.0000000000,0.0007965000
3726654313.1441855400,646.1875000000,0.0007802000
3726654314.0194525700,646.4062500000,0.0007781000
3726654314.9105167400,646.5937500000,0.0007761000
3726654315.7947759600,646.8125000000,0.0007679000
3726654316.6765070000,647.0000000000,0.0007761000
3726654317.5571122200,647.1875000000,0.0007822000
3726654318.4418578100,647.4062500000,0.0007924000
3726654319.3277702300,647.5937500000,0.0007720000
3726654320.1994438200,647.8125000000,0.0007781000
3726654321.0719246900,648.0000000000,0.0007740000
3726654321.9591383900,648.1875000000,0.0007740000
3726654322.8352146100,648.4062500000,0.0007781000
3726654323.7194314000,648.5937500000,0.0007822000
3726654324.5960183100,648.8125000000,0.0007904000
3726654325.4804110500,649.0000000000,0.0007843000
3726654326.3586425800,649.1875000000,0.0007904000
3726654327.2438960100,649.4062500000,0.0007924000
3726654328.1292200100,649.5937500000,0.0007883000
3726654329.0075302100,649.8125000000,0.0007904000
3726654329.8850173900,650.0000000000,0.0007965000
3726654330.7690424900,650.1875000000,0.0008455000
3726654331.6507711400,650.4062500000,0.0008823000
3726654332.5344309800,650.5937500000,0.0009517000
3726654333.4164533600,650.8125000000,0.0008006000
3726654334.2912097000,651.0000000000,0.0007965000
3726654335.1757845900,651.1875000000,0.0007945000
3726654336.0564370100,651.4062500000,0.0007985000
3726654336.9397826200,651.5937500000,0.0007883000
3726654337.8202047300,651.8125000000,0.0007985000
3726654338.7027320800,652.0000000000,0.0007945000
3726654339.5851674100,652.1875000000,0.0008026000
3726654340.4701175700,652.4062500000,0.0008067000
3726654341.3549265800,652.5937500000,0.0008067000
3726654342.2340416900,652.8125000000,0.0008210000
3726654343.1168198600,653.0000000000,0.0008374000
3726654344.0009985000,653.1875000000,0.0008088000
3726654344.8863768600,653.4062500000,0.0008088000
3726654345.7681222000,653.5937500000,0.0008128000
3726654346.6456198700,653.8125000000,0.0008149000
3726654347.5212202100,654.0000000000,0.0008088000
3726654348.4030184700,654.1875000000,0.0008210000
3726654349.2887406300,654.4062500000,0.0008190000
3726654350.1691846800,654.5937500000,0.0008149000
3726654351.0501565900,654.8125000000,0.0008190000
3726654351.9291424700,655.0000000000,0.0008251000
3726654352.8085269900,655.1875000000,0.0008435000
3726654353.6886191400,655.4062500000,0.0008353000
3726654354.5663070700,655.5937500000,0.0008374000
3726654355.4488840100,655.8125000000,0.0008496000
3726654356.3339777000,656.0000000000,0.0008516000
3726654357.2172865900,656.1875000000,0.0008496000
3726654358.1003761300,656.4062500000,0.0008414000
3726654358.9834489800,656.5937500000,0.0008455000
3726654359.8658528300,656.8125000000,0.0008476000
3726654360.7433409700,657.0000000000,0.0008619000
3726654361.6261920900,657.1875000000,0.0008619000
3726654362.5112237900,657.4062500000,0.0008659000
3726654363.3936376600,657.5937500000,0.0008680000
3726654364.2747688300,657.8125000000,0.0008802000
3726654365.1554727500,658.0000000000,0.0008762000
3726654366.0364813800,658.1875000000,0.0008905000
3726654366.9199585900,658.4062500000,0.0008864000
3726654367.8011298200,658.5937500000,0.0008986000
3726654368.6831512400,658.8125000000,0.0009129000
3726654369.5675225200,659.0000000000,0.0009150000
3726654370.4511838000,659.1875000000,0.0009354000
3726654371.3373665800,659.4062500000,0.0009333000
3726654372.2160072300,659.5937500000,0.0009476000
3726654373.0944638200,659.8125000000,0.0009885000
3726654373.9720969200,660.0000000000,0.0009824000
3726654374.8546919800,660.1875000000,0.0009885000
3726654375.7369070000,660.4062500000,0.0009885000
3726654376.6223712000,660.5937500000,0.0010007000
3726654377.4987921700,660.8125000000,0.0009762000
3726654378.3834881800,661.0000000000,0.0009701000
3726654379.2673416100,661.1875000000,0.0009660000
3726654380.1510882400,661.4062500000,0.0009701000
3726654381.0284485800,661.5937500000,0.0009864000
3726654381.9144110700,661.8125000000,0.0009824000
3726654382.7970118500,662.0000000000,0.0009905000
3726654383.6795425400,662.1875000000,0.0010028000
3726654384.5650024400,662.4062500000,0.0009905000
3726654385.4438610100,662.5937500000,0.0009967000
3726654386.3261103600,662.8125000000,0.0010171000
3726654387.2098641400,663.0000000000,0.0010150000
3726654388.0866327300,663.1875000000,0.0010191000
3726654388.9685130100,663.4062500000,0.0010252000
3726654389.8515448600,663.5937500000,0.0010498000
3726654390.7359485600,663.8125000000,0.0010661000
3726654391.6203041100,664.0000000000,0.0010865000
3726654392.5028905900,664.1875000000,0.0011212000
3726654393.3873944300,664.4062500000,0.0011151000
